NUM_BLOCK NUM_THREAD ELAPSED_TIME
60,16,1.146083179
60,32,1.131689607
60,48,1.011489891
60,64,1.035073534
60,80,1.020007063
60,96,1.191727945
60,112,1.021185013
60,128,.959560128
60,144,1.008167400
60,160,.954948389
120,16,.977725921
120,32,1.087295032
120,48,.968257367
120,64,.900108824
120,80,5.251311094
120,96,1.558182139
120,112,.986721862
120,128,1.228335687
120,144,1.012312198
120,160,1.248055057
180,16,.943358606
180,32,2.862709292
180,48,2.000390960
180,64,1.885907842
180,80,1.352132818
180,96,1.145057102
180,112,1.002372012
180,128,.867970621
180,144,1.133754768
180,160,1.027004794
240,16,3.127783959
240,32,.933616183
240,48,1.030488673
240,64,1.037859739
240,80,1.217234901
240,96,1.189633389
240,112,1.166377064
240,128,1.145092229
240,144,1.193587285
240,160,.977805894
300,16,1.017226788
300,32,1.039819007
300,48,1.009450804
300,64,1.025948089
300,80,.968987472
300,96,1.024676566
300,112,1.129099485
300,128,.991126954
300,144,1.705817900
300,160,1.164669404
360,16,1.633636813
360,32,1.419546691
360,48,1.050692947
360,64,.959747607
360,80,1.085390340
360,96,.970493886
360,112,1.160331921
360,128,.938923039
360,144,1.046116491
360,160,1.095269359
420,16,.993272064
420,32,1.145135461
420,48,1.311589748
420,64,1.613616286
420,80,.977012099
420,96,1.111318745
420,112,.977650309
420,128,1.232494397
420,144,1.031573690
420,160,1.079039159
600,16,1.052228548
600,32,1.685573215
600,48,1.141704727
600,64,1.457616996
600,80,3.572961669
600,96,7.936531175
600,112,2.189852741
600,128,1.072356009
600,144,2.707740376
600,160,1.311228299
